,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3596,1966.01.0.a,1960's,Unprovoked,USA,Florida,Swimming,Undefined,35.0,Thigh gashed,No,
3597,1966.00.0.a,1990's,Invalid,USA,California,Walking,Undefined,15.0,Minor lacerations & abrasions to lower leg. ,Unknown,Unknown
3598,1965.12.2.a,1960's,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, but standing in knee-deep water",Undefined,40.0,Thigh & swim fin bitten,No,
3599,1965.12.1.a,1960's,Unprovoked,JOHNSTON ISLAND,,Freediving,Undefined,0.0,No injury,No,
3600,1965.12.1.a,1960's,Boat,AUSTRALIA,South Australia,Fishing,Unknown,0.0,No injury to occupants. Shark  gouged planks of boat,No,Unknown
3601,1965.11.21.b,1960's,Provoked,AUSTRALIA,Queensland,Fishing from 34' boat when pulled overboard by hooked shark,Undefined,43.0,FATAL PROVOKED INCIDENT,Yes,Unknown
3602,1965.11.21.a,1960's,Unprovoked,PACIFIC OCEAN,"250 miles southwest of O'ahu, Hawaii","Hauling dead shark aboard, when another shark leapt out of the water & bit him",Undefined,44.0,"Left forearm bitten, surgically amputated",No,
3603,1965.11.03.b,1960's,Invalid,PANAMA,Caribbean Sea,Unknown,Unknown,0.0,2 life preservers had been bitten by sharks,Unknown,Unknown
3604,1965.11.03.a,1960's,Unprovoked,AUSTRALIA,Queensland,Surfing,Undefined,24.0,Puncture wounds to right thigh,No,
3605,1965.10.2.a,1960's,Unprovoked,,,Unknown,Undefined,39.0,Survived,No,
3606,1965.10.16.b,1960's,Unprovoked,BAHAMAS,New Providence Island,Sunbathing on beach when he saw child being attacked by the shark,Undefined,32.0,Right arm & right leg bitten,No,
3607,1965.10.16.a,1960's,Unprovoked,BAHAMAS,New Providence Island,Playing in the water,Undefined,0.0,FATAL,Yes,
3608,1965.10.1.a,1960's,Unprovoked,NEW BRITAIN,West coast,"Spearfishing, shot a turtle",Undefined,15.0,FATAL,Yes,
3609,1965.10.0.a,1960's,Unprovoked,PAPUA NEW GUINEA,New Britain,Wading,Undefined,27.0,Toe severed,No,
3610,1965.09.2.a,1960's,Provoked,PAPUA NEW GUINEA,Madang Province,Spearing fish,Undefined,0.0,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",No,Unknown
3611,1965.09.1.a,1960's,Provoked,PAPUA NEW GUINEA,East Sepik,Fishing (rod & line),Undefined,0.0,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,No,Unknown
3612,1965.09.0.a,1960's,Unprovoked,MEXICO,Veracruz,Unknown,Undefined,23.0,Leg & arm bitten,No,
3613,1965.08.3.a,1960's,Invalid,PHILIPPINES,,Unknown,Undefined,0.0,"One man was lost, but he may have drowned",Unknown,Unknown
3614,1965.08.2.a,1960's,Unprovoked,USA,New Jersey,Swimming,Undefined,15.0,Right thigh lacerated,No,
3615,1965.07.3.a,1960's,Provoked,BAHAMAS,Bimini Islands,Attempting to anesthetize shark,Undefined,0.0,Chest bitten PROVOKED INCIDENT,No,Unknown
3616,1965.07.2.a,1960's,Unprovoked,MEXICO,Veracruz,Bathing,Undefined,25.0,"FATAL, both legs severed ",Yes,
3617,1965.07.0.a,1960's,Boat,BERMUDA,Hamilton,Unknown,Unknown,0.0,"No injury to occupant, shark bit boat",No,Unknown
3618,1965.06.1.a,1960's,Invalid,USA,Florida,Wading,Undefined,6.0,Parallel lacerations on right calf. Thought to be a barracuda bite ,Unknown,Unknown
3619,1965.06.1.a,1960's,Invalid,USA,Florida,"Diving, retrieving film package from Titan 3C rocket",Undefined,0.0,"No injury, chased by 4.6 m [15'] oceanic whitetip sharks",Unknown,Unknown
3620,1965.06.0.a,1960's,Unprovoked,MEXICO,Veracruz,Swimming,Undefined,38.0,"Right forearm severed, right leg bitten and surgically amputated",No,
3621,1965.06.00.b,1960's,Unprovoked,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Spearfishing,Undefined,0.0,Minor injury,No,
3622,1965.06.0.a,1960's,Unprovoked,SOUTH PACIFIC OCEAN,,Treading water,Undefined,0.0,"FATAL, body not recovered",Yes,
3623,1965.05.2.a,1960's,Unprovoked,MEXICO,Veracruz,Swimming,Undefined,0.0,"FATAL, left leg & right arm severed ",Yes,
3624,1965.05.2.a,1960's,Unprovoked,MEXICO,Veracruz,Swimming,Undefined,0.0,"FATAL, left arm & right leg severed ",Yes,
3625,1965.05.00.c,1960's,Unprovoked,EGYPT,,Standing,Undefined,0.0,Leg bitten,No,
3626,1965.05.00.b,1960's,Unprovoked,JAMAICA,,Diving,Undefined,0.0,Minor injury,No,
3627,1965.05.00.a,1960's,Unprovoked,MEXICO,Veracruz,Swimming,Undefined,35.0,"Right arm severed, right leg bitten, not known if he survived",No,
3628,1965.04.2.a,1960's,Unprovoked,USA,Florida,Unknown,Undefined,49.0,"Thighs abraded, puncture wounds in dorsal surface of left hand",No,
3629,1965.04.2.a,1960's,Invalid,USA,California,Surfing,Undefined,19.0,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,Unknown,Unknown
3630,1965.04.1.a,1960's,Unprovoked,USA,Florida,Spearfishing,Undefined,28.0,Left hand severely lacerated,No,
3631,1965.04.04.b,1960's,Unprovoked,PALAU,Western Caroline Islands,Walking on reef,Undefined,8.0,Right leg bitten,No,
3632,1965.04.04.a,1960's,Unprovoked,USA,Florida,Paddling on surfboard,Undefined,17.0,Left hand punctured & lacerated,No,
3633,1965.03.2.a,1960's,Invalid,USA,Puerto Rico,Unknown,Undefined,0.0,"All 16 onboard perished, recovery efforts hampered by sharks",Unknown,Unknown
3634,1965.03.1.a,1960's,Unprovoked,USA,Florida,Free diving,Undefined,16.0,Survived,No,
3635,1965.02.1.a,1960's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,Undefined,25.0,"Abdomen, buttock, thigh, arm & hand bitten",No,
3636,1965.02.0.a,1960's,Unprovoked,USA,Massachusetts,Scuba diving,Undefined,18.0,Punctures on left thigh,No,
3637,1965.01.2.a,1960's,Invalid,USA,California,Unknown,Undefined,21.0,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",Unknown,Unknown
3638,1965.01.2.a,1960's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paddling rescue ski,Undefined,22.0,"No injury, ski bitten",No,
3639,1965.01.1.a,1960's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,Undefined,20.0,Right thigh punctured,No,
3640,1965.01.1.a,1960's,Unprovoked,AUSTRALIA,Victoria,Swimming,Undefined,0.0,Thigh gashed,No,
3641,1965.01.0.a,1960's,Unprovoked,NEW GUINEA,Central Province,Free diving,Undefined,30.0,FATAL,Yes,
3642,1965.00.00.g,1960's,Unprovoked,USA,Texas,Dangling feet in the water,Undefined,13.0,Foot bitten,No,
3643,1965.00.00.f,1960's,Provoked,USA,California,Surfing,Undefined,0.0,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,No,Unknown
3644,1965.00.00.e,1960's,Provoked,USA,Florida,Collecting marine specimens,Undefined,0.0,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",No,Unknown
3645,1965.00.00.d,1960's,Unprovoked,RED SEA,East of the Gulf of Aqaba,Standing in waist-deep water,Undefined,0.0,Leg bitten three times,No,
3646,1965.00.00.c,1960's,Unprovoked,EGYPT,,"Spearfishing, but standing in the water",Undefined,0.0,Ankle and thigh bitten; shark made three strikes,No,
3647,1965.00.00.b,1960's,Unprovoked,VANUATU,Malampa Province,Unknown,Undefined,0.0,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Yes,
3648,1965.00.00.a,1960's,Invalid,SOUTH AFRICA,Eastern Cape Province,Unknown,Unknown,0.0,No details,Unknown,Unknown
3649,1964.12.2.a,1960's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,Undefined,19.0,"Hand, ankle & calf lacerated",No,
3650,1964.12.10.b,1960's,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Unknown,Undefined,0.0,Thigh severely lacerated,No,
3651,1964.12.10.a,1960's,Boat,AUSTRALIA,New South Wales,Fishing,Unknown,0.0,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",No,Unknown
3652,1964.12.0.a,1960's,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Canoe swamped, swimming back to canoe",Undefined,28.0,Survived,No,
