,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
1696,2004.02.1.a,2000's,Invalid,AUSTRALIA,Queensland,Free diving & spearfishing,Undefined,31.0,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",Unknown,Unknown
1697,2004.02.1.a,2000's,Unprovoked,EGYPT,,Snorkeling,Undefined,0.0,FATAL,Yes,
1698,2004.02.1.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,Undefined,22.0,Leg bitten,No,
1699,2004.01.2.a,2000's,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,Undefined,46.0,Left leg bitten,No,
1700,2004.01.2.a,2000's,Unprovoked,URUGUAY,Rocha,Surfing,Undefined,21.0,Puncture wounds to dorsum of right foot,No,
1701,2004.01.2.a,2000's,Invalid,NEW ZEALAND,Northlands,Boogie boarding,Undefined,0.0,"No injury, swim fin damaged",Unknown,Unknown
1702,2004.01.21.b,2000's,Unprovoked,VENEZUELA,Anzoategui,Swimming,Undefined,0.0,Lower back & hand bitten,No,
1703,2004.01.21.a,2000's,Unprovoked,VENEZUELA,Anzoategui,Spearfishing,Undefined,40.0,Right leg bitten,No,
1704,2004.01.1.a,2000's,Boating,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,Undefined,0.0,"No injury to occupants, stern of ski bitten",No,Unknown
1705,2004.01.1.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Diving,Undefined,0.0,"No injury, swim fin ripped off",No,
1706,2004.01.0.a,2000's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Undefined,22.0,Foot lacerated,No,
1707,2004.01.03.b,2000's,Invalid,NEW ZEALAND,North Island,Kayaking (returning from spearfishing),Undefined,0.0,"No injury, no attack, shark took fish from back of kayak",Unknown,Unknown
1708,2004.01.03.a,2000's,Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,Unknown,0.0,"No survivors, sharks scavenged on remains",Yes,Unknown
1709,2004.00.0.a,2000's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,No inury,No,
1710,2003.12.3.a,2000's,Boating,SOUTH AFRICA,KwaZulu-Natal,Unknown,Unknown,0.0,No injury to occupants,No,Unknown
1711,2003.12.2.a,2000's,Invalid,USA,Florida,Swimming,Undefined,28.0,Knee lacerated,Unknown,Unknown
1712,2003.12.13.b,2000's,Unprovoked,USA,Florida,Swimming,Undefined,13.0,Foot bitten,No,
1713,2003.12.13.a,2000's,Unprovoked,NEW ZEALAND,Cook Islands,Swimming / shipwreck,Undefined,45.0,FATAL,Yes,
1714,2003.12.0.a,2000's,Unprovoked,AUSTRALIA,Victoria,Surfing amid a shoal of sharks,Undefined,36.0,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",No,
1715,2003.11.30.b,2000's,Unprovoked,AUSTRALIA,Western Australia,Swimming,Undefined,0.0,"After biting Halverson, it bit Scott's thigh",No,
1716,2003.11.30.a,2000's,Unprovoked,AUSTRALIA,Western Australia,Swimming,Undefined,0.0,Hand & foot bitten,No,
1717,2003.11.2.a,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Undefined,21.0,"Presumed FATAL, severed hand recovered",Yes,
1718,2003.11.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,35.0,Severe abrasion to left lateral calf,No,
1719,2003.11.12.b,2000's,Unprovoked,INDIA,Tamil Nadu,Swimming or surfing,Undefined,35.0,Left index finger lacerated,No,
1720,2003.11.12.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,24.0,Lacerations to hand,No,
1721,2003.11.06.b,2000's,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,Undefined,0.0,Hand/elbow injured,No,
1722,2003.11.06.a,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,Unknown,0.0,"No injury to occupants, hull of ski bitten",No,
1723,2003.11.0.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Standing,Undefined,0.0,Minor lacerations to leg & foot,No,
1724,2003.11.0.a,2000's,Provoked,PANAMA,Pearl Islands,Spearfishing,Undefined,0.0,Left forearm bitten PROVOKED INCIDENT,No,Unknown
1725,2003.10.31.c,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Left foot (sole) bitten,No,
1726,2003.10.31.b,2000's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,22.0,Left ankle & foot lacerated,No,
1727,2003.10.31.a,2000's,Unprovoked,USA,Hawaii,Surfing,Undefined,13.0,Left arm severed below shoulder,No,
1728,2003.10.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,46.0,Laceration on right ankle & heel,No,
1729,2003.10.2.a,2000's,Invalid,USA,Hawaii,Snorkeling,Undefined,56.0,Left forearm lacerated,Unknown,Unknown
1730,2003.10.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,19.0,Foot bitten,No,
1731,2003.10.0.a,2000's,Invalid,USA,Florida,Swimming to shore from boat or kayak,Undefined,0.0,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Yes,Unknown
1732,2003.10.05.e,2000's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Minor puncture wounds in hand,No,
1733,2003.10.05.d,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,5 to 6 lacerations on right foot & ankle,No,
1734,2003.10.05.c,2000's,Provoked,USA,Florida,Surfing,Undefined,30.0,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,No,Unknown
1735,2003.10.05.b,2000's,Unprovoked,USA,Florida,Sitting on surfboard,Undefined,50.0,Left foot bitten,No,
1736,2003.10.05.a,2000's,Unprovoked,USA,Hawaii,Wading near a fishing net,Undefined,41.0,"Left thigh abraded, right knee and right index finger injured",No,
1737,2003.09.2.a,2000's,Unprovoked,FIJI,Taveuni,Wading to shore from his boat,Undefined,40.0,FATAL abdomen bitten,Yes,
1738,2003.09.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,16.0,Arm lacerated,No,
1739,2003.09.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,21.0,Left foot bitten,No,
1740,2003.09.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,19.0,Left heel lacerated,No,
1741,2003.09.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,17.0,3 puncture wounds on left foot,No,
1742,2003.09.14.c,2000's,Unprovoked,USA,Florida,Surfing,Undefined,30.0,Left foot: lacerations on heel and sole,No,
1743,2003.09.14.b,2000's,Boat,SOUTH AFRICA,Western Cape Province,Fishing ,Unknown,0.0,"No injury to occupants, shark bit boat",No,Unknown
1744,2003.09.14.a,2000's,Invalid,USA,Florida,Swimming,Undefined,0.0,Puncture wounds on inner thigh,Unknown,Unknown
1745,2003.09.13.b,2000's,Unprovoked,USA,Florida,Body boarding,Undefined,18.0,Left calf avulsion,No,
1746,2003.09.13.a,2000's,Unprovoked,USA,South Carolina,"Standing, stepped on shark",Undefined,15.0,Ankle lacerated,No,
1747,2003.09.1.a,2000's,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,Undefined,19.0,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Yes,
1748,2003.09.0.a,2000's,Unprovoked,USA,Florida,Wade-fishing,Undefined,0.0,2 lacerations on each side of Achilles tendon,No,
1749,2003.08.2.a,2000's,Provoked,USA,Texas,Fishing,Undefined,0.0,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,No,Unknown
1750,2003.08.1.a,2000's,Unprovoked,USA,California,"Swimming, wearing black wetsuit & swim fins",Undefined,50.0,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Yes,
1751,2003.08.1.a,2000's,Invalid,USA,California,Swimming,Undefined,31.0,Left ankle lacerated,Unknown,Unknown
1752,2003.08.0.a,2000's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,Undefined,16.0,"No injury, wetsuit torn & board bitten",No,
1753,2003.07.2.a,2000's,Unprovoked,AUSTRALIA,Northern Territory,Surf skiing,Undefined,37.0,"No injury, flung into water when shark bit rudder of ski",No,
1754,2003.07.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Laceration to little finger of  right hand,No,
1755,2003.07.1.a,2000's,Unprovoked,USA,Florida,Wading,Undefined,15.0,Heel & sole of left foot,No,
1756,2003.07.0.a,2000's,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,Undefined,58.0,Right thigh bitten,No,
1757,2003.07.05.b,2000's,Provoked,USA,Florida,"Walking, carrying surfboard & stepped on shark",Undefined,10.0,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,No,Unknown
1758,2003.07.05.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,21.0,Left foot bitten,No,
1759,2003.07.0.a,2000's,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,Undefined,39.0,Left calf bitten,No,
1760,2003.07.00.c,2000's,Unprovoked,USA,Florida,Spearfishing,Undefined,0.0,Laceration to toe,No,
1761,2003.07.00.b,2000's,Unprovoked,FRENCH POLYNESIA,Society Islands,Spearfishing,Undefined,0.0,Leg bitten,No,
1762,2003.07.00.a,2000's,Unprovoked,NEW ZEALAND,Cook Islands,Snorkeling,Undefined,0.0,Chest & buttocks  bitten,No,
1763,2003.06.3.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,17.0,Right foot & toes lacerated,No,
1764,2003.06.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,15.0,Ankle lacerated,No,
1765,2003.06.24.c,2000's,Unprovoked,BRAZIL,Pernambuco,Unknown,Undefined,0.0,FATAL,Yes,
1766,2003.06.24.b,2000's,Unprovoked,USA,Florida,Standing,Undefined,12.0,2 lacerations to the thigh,No,
1767,2003.06.24.a,2000's,Unprovoked,USA,Hawaii,Swimming with pod of dolphins,Undefined,60.0,Right foot bitten,No,
1768,2003.06.2.a,2000's,Unprovoked,USA,Johnston Atoll,Swimming,Undefined,51.0,Left leg bitten,No,
1769,2003.06.1.a,2000's,Unprovoked,USA,North Carolina,Surfing ,Undefined,33.0,Hand bitten ,No,
1770,2003.06.0.a,2000's,Unprovoked,USA,Florida,Surfing,Unknown,15.0,6 puncture wounds to left ankle,No,
1771,2003.06.0.a,2000's,Invalid,USA,South Carolina,Swimming,Undefined,22.0,Foot lacerated,Unknown,Unknown
1772,2003.05.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Left foot lacerated,No,
1773,2003.05.1.a,2000's,Unprovoked,USA,Florida,Wading,Undefined,22.0,Left foot bitten,No,
1774,2003.05.1.a,2000's,Unprovoked,USA,Hawaii,Swimming,Undefined,20.0,Right calf & heel bitten,No,
1775,2003.05.0.a,2000's,Provoked,USA,Florida,Surfing,Undefined,34.0,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,No,Unknown
1776,2003.05.0.a,2000's,Unprovoked,USA,Florida,Walking,Undefined,9.0,Laceration to right lower leg,No,
1777,2003.05.0.a,2000's,Unprovoked,PHILIPPINES,Baatan,Unknown,Unknown,0.0,Arm severed,No,
1778,2003.04.2.a,2000's,Provoked,BRAZIL,Rio de Janeiro,Killing  sharks,Undefined,0.0,Shallow  lacerations to left  thigh PROVOKED INCIDENT,No,Unknown
1779,2003.04.2.a,2000's,Unprovoked,BRAZIL,Rio de Janeiro,Swimming ,Undefined,16.0,Bitten on finger,No,
1780,2003.04.23.b,2000's,Unprovoked,BRAZIL,Pernambuco,Surfing,Undefined,17.0,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",No,
1781,2003.04.23.a,2000's,Unprovoked,BRAZIL,Rio de Janeiro,Swimming,Undefined,7.0,Right hand lacerated,No,
1782,2003.04.21.b,2000's,Unprovoked,USA,Florida,Surfing,Undefined,36.0,Right leg bitten,No,
1783,2003.04.21.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,17.0,Survived,No,
1784,2003.04.20.c,2000's,Unprovoked,USA,Florida,Surfing,Undefined,30.0,Left foot bitten,No,
1785,2003.04.20.b,2000's,Unprovoked,USA,Florida,Surfing,Undefined,23.0,Small lacerations to foot,No,
1786,2003.04.20.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Left ankle bitten or right foot,No,
1787,2003.04.1.a,2000's,Unprovoked,USA,Florida,Jumping,Undefined,11.0,Left foot bitten,No,
1788,2003.04.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,12.0,2 lacerations on left thigh,No,
1789,2003.04.1.a,2000's,Unprovoked,USA,Florida,Swimming (using a float),Undefined,20.0,Left calf lacerated,No,
1790,2003.04.1.a,2000's,Unprovoked,VENEZUELA,Nueva Esparta,Surfing,Undefined,28.0,"Right foot bitten, left leg severed",No,
1791,2003.04.0.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Arm lacerated,No,
1792,2003.04.0.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,50.0,Left hand and wrist bitten,No,
1793,2003.03.1.a,2000's,Provoked,USA,Florida,Petting captive sharks,Undefined,0.0,Hand nipped PROVOKED INCIDENT,No,Unknown
1794,2003.02.2.a,2000's,Unprovoked,NEW ZEALAND,Southland,Scuba diving,Undefined,44.0,Arm lacerated (shark made 3 strikes),No,
1795,2003.02.15.b,2000's,Unprovoked,AUSTRALIA,South Australia,Wading,Undefined,37.0,Ankle lacerated,No,
1796,2003.02.15.a,2000's,Unprovoked,USA,Florida,Swimming,Undefined,54.0,Left hand bitten,No,
1797,2003.02.1.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Swimming,Undefined,24.0,"Puncture wounds on heel, legs and buttocks",No,
1798,2003.02.0.a,2000's,Unprovoked,AUSTRALIA,Queensland,Swimming,Undefined,84.0,FATAL,Yes,
1799,2003.01.1.a,2000's,Invalid,SOUTH AFRICA,Western Cape Province,Unknown,Undefined,14.0,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Unknown,Unknown
1800,2003.01.0.a,2000's,Unprovoked,COSTA RICA,North Pacific coast,Surfing,Undefined,0.0,Lower right leg lacerated,No,
1801,2003.01.0.a,2000's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"No injury, but her surfboard was bitten",No,
1802,2002.12.2.a,2000's,Unprovoked,AUSTRALIA,Queensland,Snorkeling,Undefined,18.0,Left arm lacerated,No,
1803,2002.12.2.a,2000's,Unprovoked,SOUTH AFRICA,Western Cape Province,Snorkeling,Undefined,25.0,Forearms lacerated,No,
1804,2002.12.2.a,2000's,Unprovoked,AUSTRALIA,Queensland,Scuba diving,Undefined,26.0,Groin bitten,No,
1805,2002.12.2.a,2000's,Invalid,AUSTRALIA,Queensland,Swimming,Undefined,11.0,Foot lacerated,Unknown,Unknown
1806,2002.12.1.a,2000's,Unprovoked,AUSTRALIA,Queensland,Swimming,Undefined,23.0,FATAL,Yes,
1807,2002.12.0.a,2000's,Unprovoked,BRAZIL,Pernambuco,Surfing,Undefined,19.0,FATAL,Yes,
1808,2002.11.28.b,2000's,Unprovoked,MICRONESIA,Caroline Islands,Scuba diving,Undefined,0.0,Minor injury to right calf,No,
1809,2002.11.28.a,2000's,Unprovoked,USA,California,Body boarding,Undefined,48.0,Both legs severely lacerated,No,
1810,2002.11.1.a,2000's,Unprovoked,USA,Hawaii,Swimming,Undefined,34.0,Right shoulder forarm & wrist bitten,No,
1811,2002.11.1.a,2000's,Unprovoked,TURKS & CAICOS,Caicos Bank,Snorkeling,Undefined,41.0,"Right upper am, shoulder & back severely  bitten",No,
1812,2002.11.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,21.0,1.5-inch laceration,No,
1813,2002.11.0.a,2000's,Unprovoked,USA,Florida,Boogie boarding,Undefined,16.0,Puncture wounds on right foot,No,
1814,2002.11.00.a,2000's,Unprovoked,FRENCH POLYNESIA,Society Islands,"Fishing, standing in 2' of water",Undefined,52.0,Shin bruised,No,
1815,2002.10.3.a,2000's,Unprovoked,USA,Hawaii,Swimming,Undefined,60.0,Left foot bitten ,No,
1816,2002.10.1.a,2000's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,36.0,"FATAL, body not recovered",Yes,
1817,2002.10.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,21.0,Left foot bitten,No,
1818,2002.10.05.b,2000's,Unprovoked,USA,Florida,Surfing,Undefined,14.0,Abrasions on right hand & deep laceration on middle finger,No,
1819,2002.10.05.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,35.0,Heel & back of right knee lacerated,No,
1820,2002.10.0.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Left hand lacerated and abraded,No,
1821,2002.09.3.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,47.0,Right hand severely lacerated,No,
1822,2002.09.2.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,32.0,Left hand bitten,No,
1823,2002.09.27.c,2000's,Unprovoked,USA,Hawaii,Fishing from Surfboard,Undefined,55.0,"No injury, surfboard bitten ",No,
1824,2002.09.27.b,2000's,Provoked,USA,Florida,Fishing,Undefined,0.0,Left thumb lacerated PROVOKED INCIDENT,No,Unknown
1825,2002.09.27.a,2000's,Provoked,TONGA,Vava'u,Swimming,Undefined,0.0,Thigh lacerated  PROVOKED INCIDENT,No,Unknown
1826,2002.09.21.b,2000's,Unprovoked,USA,Oregon,Boogie boarding or Surfing,Undefined,24.0, Ankle lacerated,No,
1827,2002.09.21.a,2000's,Unprovoked,USA,California,Surfing,Undefined,35.0,No injury,No,
1828,2002.09.16.b,2000's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,19.0,"Left thigh bitten, leg surgically amputated",No,
1829,2002.09.16.a,2000's,Unprovoked,USA,Hawaii,Body boarding,Unknown,0.0,"No injury, shark fin seen just before board ripped away & dragged out to sea",No,
1830,2002.09.1.a,2000's,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing,Undefined,47.0,No injury,No,
1831,2002.09.0.a,2000's,Unprovoked,USA,Florida,Boogie boarding,Undefined,20.0,Bitten above & below right knee,No,
1832,2002.09.0.a,2000's,Provoked,USA,Florida,"Wading, when he stepped on the shark",Undefined,36.0,2 small puncture wounds on left foot PROVOKED INCIDENT,No,Unknown
1833,2002.08.2.a,2000's,Unprovoked,USA,Hawaii,Surfing,Undefined,16.0,Left foot lacerated ,No,
1834,2002.08.1.a,2000's,Unprovoked,USA,Alabama,Swimming,Undefined,29.0,Both arms & leg bitten,No,
1835,2002.08.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,27.0,Big toe bitten,No,
1836,2002.08.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,15.0,Lacerations on heel & dorsum of right foot,No,
1837,2002.08.0.a,2000's,Unprovoked,USA,Florida,Standing,Undefined,15.0,Ankle & leg lacerated,No,
1838,2002.08.0.a,2000's,Provoked,UNITED KINGDOM,Cheshire,Diving,Undefined,30.0,Hand bitten by captive shark PROVOKED INCIDENT,No,Unknown
1839,2002.08.0.a,2000's,Unprovoked,USA,North Carolina,Standing,Undefined,14.0,Leg lacerated,No,
1840,2002.07.2.a,2000's,Unprovoked,USA,South Carolina,Surfing,Undefined,13.0,Heel bitten,No,
1841,2002.07.2.a,2000's,Unprovoked,USA,North Carolina,Swimming,Undefined,15.0,Calf bitten,No,
1842,2002.07.1.a,2000's,Provoked,USA,Florida,Surfing,Undefined,19.0,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,No,Unknown
1843,2002.07.09.b,2000's,Provoked,USA,Maryland,Shark Fishing,Undefined,41.0,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Yes,Unknown
1844,2002.07.09.a,2000's,Unprovoked,BRAZIL,Pernambuco,Surfing,Undefined,22.0,Right hand severed,No,
1845,2002.07.0.a,2000's,Unprovoked,USA,North Carolina,Standing,Undefined,9.0,"Calf, foot & hand bitten",No,
1846,2002.06.20.b,2000's,Unprovoked,AUSTRALIA,Queensland,Surfing,Undefined,30.0,minor injury to foot,No,
1847,2002.06.20.a,2000's,Unprovoked,USA,Florida,Swimming,Undefined,11.0,Small lacerations on right lower leg,No,
1848,2002.06.1.a,2000's,Invalid,INDONESIA,,Unknown,Unknown,0.0,Human remains (right forearm & leg) recovered from 3.7m [12'] tiger shark�s gut. Forensic examination suggested the remains had been consumed by the shark one to two weeks earlier,Unknown,Unknown
1849,2002.06.13.R2,2000's,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,Unknown,Unknown,0.0,"Arm severely lacerated, surgically amputated",No,
1850,2002.06.13.R1,2000's,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,Attempting to retreive a dinghy,Unknown,0.0,FATAL,Yes,
1851,2002.06.11.b,2000's,Unprovoked,USA,Hawaii,Sitting on surfboard,Unknown,0.0,"No injury, shark bit side of surfboard",No,
1852,2002.06.11.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,28.0,Right hand lacerated,No,
1853,2002.06.09.b,2000's,Unprovoked,USA,Florida,Surfing,Undefined,50.0,6-inch gash on right foot,No,
1854,2002.06.09.a,2000's,Unprovoked,USA,Florida,Swimming,Undefined,10.0,Right calf lacerated,No,
1855,2002.06.0.a,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Snorkeling (filming the sardine run),Undefined,50.0,Upper arm bitten,No,
1856,2002.05.31.b,2000's,Unprovoked,USA,California,Surfing,Undefined,24.0,Lacerated leg & back,No,
1857,2002.05.31.a,2000's,Unprovoked,USA,Florida,Floating on a raft,Undefined,16.0,Lacerated foot,No,
1858,2002.05.22.b,2000's,Provoked,USA,Florida,"Fishing, removing the shark from his line",Undefined,55.0,Leg bitten by hooked shark PROVOKED INCIDENT,No,Unknown
1859,2002.05.22.a,2000's,Unprovoked,USA,Florida,Playing in the surf with his 2 dogs,Undefined,35.0,"2-inch wound on dorsum of right foot, 1-inch wound on sole",No,
1860,2002.05.2.a,2000's,Unprovoked,COSTA RICA,Guanacaste,Surfing,Undefined,0.0,Toothmarks in board & his swim trunks,No,
1861,2002.05.2.a,2000's,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Collecting beche-de-mer,Undefined,14.0,Wrist lacerated,No,
1862,2002.05.1.a,2000's,Unprovoked,USA,Florida,Fishing,Undefined,31.0,Laceration to arm.,No,
1863,2002.05.1.a,2000's,Unprovoked,BRAZIL,Pernambuco,Surfing,Undefined,40.0,Leg injured,No,
1864,2002.05.0.a,2000's,Provoked,AUSTRALIA,Northern Territory,Fishing from prawn trawler,Undefined,20.0,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,No,Unknown
1865,2002.04.3.a,2000's,Unprovoked,AUSTRALIA,South Australia,Scallop diving (using surface-supplied air & a POD) ,Undefined,23.0,"FATAL, torso & leg bitten  ",Yes,
1866,2002.04.2.a,2000's,Invalid,AUSTRALIA,New South Wales,Fishing (Drowned 2-Apr-2002),Undefined,52.0,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",Unknown,Unknown
1867,2002.04.2.a,2000's,Unprovoked,USA,Florida,"Surfing, but standing in water alongside board",Undefined,34.0,Left foot bitten,No,
1868,2002.04.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,28.0,Left foot bitten,No,
1869,2002.04.1.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Swimming,Undefined,45.0,Foot bitten,No,
1870,2002.04.0.a,2000's,Unprovoked,BAHAMAS,Abaco Islands,Standing,Undefined,43.0,Calf bitten,No,
1871,2002.04.0.a,2000's,Unprovoked,USA,Florida,Wading,Undefined,41.0,Two half-inch lacerations on right heel and one near small toe,No,
1872,2002.04.0.a,2000's,Unprovoked,USA,Florida,Swimming / Wading,Undefined,29.0,Upper left arm bitten,No,
1873,2002.03.25.b,2000's,Unprovoked,USA,Hawaii,Body-boarding,Undefined,17.0,Left leg severed below knee,No,
1874,2002.03.25.a,2000's,Unprovoked,USA,Florida,Wading,Undefined,11.0,Foot bitten,No,
1875,2002.03.2.a,2000's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,16.0,"Severe kacerations, FATAL",Yes,
1876,2002.03.1.a,2000's,Unprovoked,USA,Florida,Swimming /  boogie boarding,Undefined,20.0,Punctures on left foot and foot ,No,
1877,2002.03.15.b,2000's,Unprovoked,USA,Florida,Snorkeling,Undefined,39.0,Arm bitten,No,
1878,2002.03.15.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,31.0,Several  puncture wounds on lower right leg,No,
1879,2002.03.0.a,2000's,Invalid,NEW CALEDONIA,Loyalty Islands,Spearfishing,Undefined,44.0,"PRESUMED FATAL, body not recovered",Unknown,Unknown
1880,2002.02.2.a,2000's,Unprovoked,TURKS & CAICOS,,Capsized fishing boat,Undefined,0.0,FATAL,Yes,
1881,2002.02.1.a,2000's,Unprovoked,AUSTRALIA,Queensland,Surfing,Undefined,0.0,Heel / foot bitten,No,
1882,2002.02.1.a,2000's,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),Unknown,Undefined,15.0,"FATAL, lower thigh & knee severely lacerated ",Yes,
1883,2002.02.0.a,2000's,Boating,AUSTRALIA,New South Wales,Kayaking,Undefined,35.0,Stern of kayak bitten/chest bruised ,No,Unknown
1884,2002.01.30.b,2000's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,20.0,Bruises & minor cuts,No,
1885,2002.01.30.a,2000's,Unprovoked,AUSTRALIA,Western Australia,Swimming,Undefined,32.0,15 cm wound on inner thigh,No,
1886,2002.01.0.a,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,Undefined,16.0,Leg bitten & surgically amputated,No,
1887,2002.01.0.a,2000's,Unprovoked,BRAZIL,Pernambuco,Swimming,Unknown,0.0,FATAL,Yes,
1888,2002.01.01.b,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,Undefined,26.0,Foot & calf bitten,No,
1889,2002.01.01.a,2000's,Unprovoked,USA,Hawaii,Snorkeling,Undefined,35.0,Lacerations to buttocks & thigh,No,
1890,2001.12.2.a,2000's,Invalid,AUSTRALIA,Western Australia,Surfing,Undefined,36.0,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",No,Unknown
1891,2001.11.2.a,2000's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,49.0,"No Injury, shark hit board",No,
1892,2001.11.1.a,2000's,Unprovoked,USA,Hawaii,Surfing,Unknown,0.0,"No injury, portion of board's lower surface removed",No,
1893,2001.11.0.a,2000's,Invalid,AUSTRALIA,Western Australia,Surf-skiing,Undefined,0.0,"No injury, fell off ski after possibly colliding with  a shark",Unknown,Unknown
1894,2001.10.0.a,2000's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Kite-Boarding,Undefined,0.0,No injury,No,
1895,2001.10.0.a,2000's,Unprovoked,AUSTRALIA,Queensland,Snorkeling,Undefined,20.0,Lacerations to right forearm & shoulder injured,No,
1896,2001.09.30.b,2000's,Unprovoked,MEXICO,Guerrero,Body surfing,Undefined,26.0,Hand injured,No,
1897,2001.09.30.a,2000's,Boat,AUSTRALIA,Queensland,Unknown,Undefined,31.0,No injury from shark,No,Unknown
1898,2001.09.2.a,2000's,Provoked,USA,Florida,"Surfing, fell off surfboard & stepped on the shark.",Undefined,21.0,PROVOKED INCIDENT Several small lacerations on left foot ,No,Unknown
1899,2001.09.1.a,2000's,Unprovoked,USA,Florida,Surfing,Undefined,14.0,"1"" to 2"" cuts on right ankle & foot",No,
